 600 = number of grid points in r
 index     r/rstar  r(au)
 526  1994.00369  411353856.
 527  2018.89037  416487872.
 528  2044.08765  421685952.
 529  2069.59942  426948928.
 530  2095.42959  432277568.
 531  2121.58215  437672704.
 532  2148.0611  443135200.
 533  2174.87054  448665856.
 534  2202.01457  454265568.
 535  2229.49739  459935136.
 536  2257.32321  465675488.
 537  2285.49632  471487456.
 538  2314.02105  477371968.
 539  2342.90179  483329952.
 540  2372.14298  489362272.
 541  2401.74913  495469888.
 542  2431.72479  501653728.
 543  2462.07456  507914752.
 544  2492.80312  514253920.
 545  2523.9152  520672192.
 546  2555.41558  527170560.
 547  2587.3091  533750048.
 548  2619.60069  540411648.
 549  2652.29529  547156416.
 550  2685.39795  553985344.
 551  2718.91376  560899520.
 552  2752.84787  567899968.
 553  2787.2055  574987776.
 554  2821.99194  582164032.
 555  2857.21255  589429888.
 556  2892.87273  596786432.
 557  2928.97798  604234816.
 558  2965.53385  611776128.
 559  3002.54597  619411520.
 560  3040.02002  627142272.
 561  3077.96178  634969472.
 562  3116.37708  642894400.
 563  3155.27184  650918208.
 564  3194.65203  659042112.
 565  3234.52371  667267456.
 566  3274.89302  675595456.
 567  3315.76618  684027456.
 568  3357.14946  692564608.
 569  3399.04923  701208320.
 570  3441.47195  709959936.
 571  3484.42413  718820800.
 572  3527.91239  727792256.
 573  3571.94342  736875648.
 574  3616.52399  746072384.
 575  3661.66096  755383936.
 576  3707.36127  764811712.
 577  3753.63195  774357120.
 578  3800.48013  784021696.
 579  3847.91301  793806912.
 580  3895.93789  803714176.
 581  3944.56215  813745152.
 582  3993.79328  823901312.
 583  4043.63886  834184256.
 584  4094.10654  844595520.
 585  4145.2041  855136704.
 586  4196.9394  865809472.
 587  4249.32039  876615424.
 588  4302.35514  887556224.
 589  4356.0518  898633600.
 590  4410.41864  909849216.
 591  4465.46401  921204864.
 592  4521.1964  932702208.
 593  4577.62436  944343040.
 594  4634.75659  956129152.
 595  4692.60187  968062336.
 596  4751.16911  980144512.
 597  4810.46731  992377472.
 598  4870.5056  1.00476307E+09
 599  4931.29321  1.0173033E+09
 600  4992.83949  1.03E+09
