#######################
   XBIN   YBIN   VEL
   -8.0   -2.8   76.6
    2.8    8.0   83.9
   -8.0    2.0  164.7
   -2.0    8.0  167.7
    8.0    4.4  -12.4
    6.4   -7.2 -199.2
    7.2   -6.4 -180.9
    8.8   -4.0 -143.6
   -6.8   -6.4   21.6
   -3.6   -8.8  -34.9
    5.6   -8.0 -192.6
    8.0   -5.6 -175.0
    0.8  -10.0 -110.9
    0.0  -10.0  -94.4
    7.2    6.0    6.7
    9.9   -0.8 -100.1
    8.8    3.6  -26.5
    6.4    6.8   26.7
    9.9    0.0  -90.1
    1.6   -9.6 -129.8
   10.0   -1.6  -99.6
   -0.8  -10.0  -84.1
   -5.2   -8.0  -11.0
   10.0    0.8  -72.5
    2.4   -9.6 -133.4
   -7.6   -5.6   45.3
   10.0   -2.4 -118.2
    4.0    8.4   66.6
    4.8   -8.8 -187.0
    8.8   -5.1 -168.0
    5.6    7.6   42.9
   -1.6  -10.0  -60.5
   10.0    1.6  -58.8
   -6.8    5.6  219.8
   -5.6    6.8  227.7
   -8.0    3.6  196.9
   -3.6    8.0  199.1
    0.4    8.8  135.2
   -9.1    0.5  144.9
   -9.0   -1.9  105.7
   -4.8    7.6  211.9
    2.0    8.8  100.6
   -1.2    8.8  164.3
    7.2   -7.6 -198.4
    9.9   -3.2 -137.8
    3.2   -9.6 -152.3
    8.0   -6.8 -186.2
    6.4   -8.0 -199.9
   10.0    2.4  -53.9
   -2.4  -10.0  -53.3
    4.8    8.4   56.7
   -8.5   -5.0   51.6
   -8.8    2.0  162.9
   -6.8   -7.2    8.3
    8.2    5.9   -4.3
    5.6   -9.1 -188.5
    4.0  -10.0 -163.4
    9.8   -4.3 -143.5
   -9.0   -3.7   71.6
    3.2    9.2   95.7
   -3.2  -10.0  -41.9
    9.8    3.5  -39.2
   -5.2   -8.8  -19.9
   -2.8    8.8  183.3
    9.3    5.0   -6.3
   -6.8    6.4  221.3
    2.0  -10.4 -132.2
    4.8  -10.0 -184.8
    6.8   -8.8 -199.1
    8.8   -6.8 -182.8
   -4.0  -10.0  -37.8
   -8.8    3.6  194.2
   -8.0    5.2  200.2
   -9.8   -0.5  113.8
   -6.7   -8.3    9.8
    3.2  -10.8 -146.6
    0.5    9.8  131.7
    1.9    9.8  103.2
    7.5    7.5   30.8
   -1.1    9.8  155.7
  -10.0   -2.8   83.4
   -8.4   -6.8   30.9
   -9.8    1.9  157.2
   10.0   -5.6 -164.5
    6.6    8.5   40.3
   -4.4    8.8  210.8
   -6.8    7.2  231.4
   -5.1   -9.8  -26.3
   -6.0    8.0  229.0
   -2.7    9.8  179.3
    8.0   -8.4 -206.6
    5.3    9.3   53.9
    0.4  -11.2 -101.3
   11.5   -1.2 -100.2
   11.6    0.4  -71.5
    2.0  -11.2 -133.8
   -1.2  -11.2  -77.2
   10.9   -5.1 -156.8
    3.7   10.1   82.7
    6.4  -10.0 -194.3
   10.0   -6.4 -170.9
   -8.8    5.2  217.1
    9.2    6.8   13.8
   11.6   -2.8 -118.9
   10.8    4.4  -26.4
   11.5    2.0  -57.5
   -9.8    3.5  181.9
   -0.0   11.0  133.6
  -10.8    0.4  132.4
  -11.1   -1.6   96.8
   -9.9   -5.2   49.5
   -8.0    6.8  226.2
   -2.7  -11.4  -55.4
    5.3  -10.9 -194.6
    8.8   -8.4 -202.3
    2.4   11.0  107.8
   -4.3    9.8  207.1
   -1.8   11.1  169.2
   -6.0    8.8  232.0
   11.9   -4.2 -134.1
    4.0  -11.5 -163.5
    9.8   -7.5 -195.3
    7.2  -10.0 -194.2
   11.7    3.4  -30.9
    8.4    8.4   18.6
   -7.5   -9.1   16.4
   -8.5   -8.2   26.2
  -10.9    2.7  159.2
   -6.6  -10.1   -3.1
    0.4  -12.0 -101.0
  -11.3   -3.9   77.9
   -9.8    5.1  202.0
    2.0  -12.0 -131.1
   -1.1  -12.2  -76.6
   -4.4  -11.6  -34.8
   -5.8  -11.1  -12.0
   -7.6    8.0  236.6
   13.1    0.8  -53.1
   -3.5   10.9  184.3
   -8.8    6.8  231.7
   -9.9   -7.1   41.0
   10.7    6.2    0.6
    8.3   -9.9 -204.8
    2.9  -12.5 -134.5
    6.8   10.0   53.0
    5.2   10.8   76.2
  -10.9    4.3  188.4
   -5.6   10.0  227.5
  -11.8    1.6  156.3
   -3.4  -12.5  -39.7
   -7.6    8.8  237.8
    6.7  -11.4 -196.9
   11.4   -6.7 -159.7
    5.1  -12.2 -181.8
    0.5  -13.0 -105.8
   -5.1   10.9  219.1
    1.9  -13.3 -120.6
    9.9   -9.1 -210.8
   13.2   -1.6  -98.1
   -9.9    6.7  233.3
    4.0   11.9   83.2
   -6.7    9.8  242.2
   10.9   -8.2 -180.5
   -1.9  -13.0  -66.0
   -8.3  -10.2    4.4
  -12.8   -0.1  125.0
  -10.9    5.9  207.5
   10.1    8.8   27.3
   12.6   -5.6 -149.1
   -5.1  -13.1  -22.5
   13.7   -3.5 -117.1
